1: ([37.484080, -122.317202], [37.795838, -122.263707])
2: ([37.543162, -122.178537], [37.632904, -122.244341])
3: ([37.682902, -122.230149], [37.745361, -122.342501])
4: ([37.746119, -122.097413], [37.428018, -122.184692])
5: ([37.714580, -122.268496], [37.722212, -122.074126])
6: ([37.633115, -122.124807], [37.573354, -122.035212])
7: ([37.691276, -122.321274], [37.497209, -122.091829])
8: ([37.809073, -122.225798], [37.647495, -122.193889])
9: ([37.768998, -122.192135], [37.704445, -122.175341])
10: ([37.754356, -122.224002], [37.752093, -122.032084])
11: ([37.545658, -122.260477], [37.664602, -122.298297])
12: ([37.588211, -122.212082], [37.815875, -122.200958])
13: ([37.455428, -122.254318], [37.768330, -122.056927])
14: ([37.608890, -122.280901], [37.756741, -122.190372])
15: ([37.678354, -122.377429], [37.489320, -122.103443])
